,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
25,Reliance Retail,4.1,14600,Private,"Navi Mumbai,Maharashtra + 604 more",16 years old,1 Lakh+ Employees (India),Gems & Jewellery
26,WNS,3.7,6800,Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India),BPO/KPO
27,Mahindra & Mahin...,3.9,38200,Public,"Mumbai,Maharashtra + 404 more",77 years old,1 Lakh+ Employees (India),Automobile
28,IndusInd Bank,3.8,6600,Public,"Gurgaon/Gurugram,Haryana + 540 more",28 years old,10k-50k Employees (India),Financial Services
29,Flipkart,4.2,10800,Public,"Bangalore,Karnataka + 417 more",15 years old,50k-1 Lakh Employees (India),Internet
30,DXC Technology,3.9,7000,Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India),IT Services & Consulting
31,Hinduja Global S...,4,6000,Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India),BPO / Call Centre
32,BYJU'S,3.6,10600,Private,"Bangalore,Karnataka + 175 more",11 years old,1k-5k Employees (India),Internet
33,Ernst & Young,3.8,5900,Private,London + 70 more,20 years old,50k-1 Lakh Employees (India),Consulting
34,Maruti Suzuki,4.1,5800,Public,"New Delhi,Delhi + 372 more",39 years old,10k-50k Employees (India),Automobile
35,Infosys BPM,4,5600,,"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),BPO/KPO
36,HSBC,4.1,5700,Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India),Financial Services
37,Ericsson,4.3,5300,Private,"Stockholm,Stockholm County + 130 more",146 years old,10k-50k Employees (India),Internet
38,Bajaj Finserv,4.1,5100,Public,"Pune,Maharashtra + 645 more",15 years old,10k-50k Employees (India),FinTech / Payments
39,IDFC FIRST Bank,4,5000,Public,"Mumbai,Maharashtra + 370 more",4 years old,10k-50k Employees (India),Financial Services
40,Conneqt Business...,3.7,5000,Private,"Mumbai,Maharashtra + 151 more",20 years old,10k-50k Employees (India),BPO/KPO
41,Dr. Reddy's,4.2,4900,Public,"Hyderabad/Secunderabad,Telangana + 129 more",36 years old,10k-50k Employees (India),Clinical Research / Contract Research
42,Startek,3.4,4800,Public,"Mumbai,Maharashtra + 49 more",5 years old,5k-10k Employees (India),BPO/KPO
43,Mphasis,3.8,4700,Public,"Bangalore/Bengaluru,Karnataka + 40 more",24 years old,10k-50k Employees (India),Hardware & Networking
44,Sutherland Globa...,3.9,5000,Private,"Pittsford,New York + 39 more",36 years old,10k-50k Employees (India),Facility Management Services
45,Cipla Pharmaceut...,4.1,4700,Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India),Manufacturing
46,Jana Small Finan...,3.9,4600,Public,"Bangalore/Bengaluru,Karnataka + 305 more",16 years old,10k-50k Employees (India),Banking
47,Yes Bank,4,4500,Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India),Financial Services
48,Asian Paints,4.3,4700,Public,"Mumbai,Maharashtra + 333 more",80 years old,10k-50k Employees (India),Chemicals / Agri Inputs
49,ICICI Prudential...,4.1,4400,Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India),Financial Services
50,HCL Group,3.9,23500,,Chennai + 68 more,,50k-1 Lakh Employees (India),IT Services & Consulting
51,NTT DATA,4,4600,Private,"Chiyoda City,Tokyo + 38 more",34 years old,10k-50k Employees (India),IT Services & Consulting
52,Udaan,4.1,4200,Private,"Bangalore,Karnataka + 293 more",6 years old,1k-5k Employees (India),Consumer goods
53,Indian Army,4.7,4100,Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India),Defence & Aerospace
54,HDFC Life,4,5400,Public,"Mumbai,Maharashtra + 398 more",22 years old,10k-50k Employees (India),Financial Services
55,EXL Service,3.9,5200,Private,"New York City,New York + 28 more",23 years old,10k-50k Employees (India),BPO/KPO
56,Home Credit Fina...,4.2,3900,Private,Gurugram + 101 more,10 years old,5k-10k Employees (India),NBFC
57,L&T Infotech,3.9,3900,Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India),IT Services & Consulting
58,PwC,3.8,3900,Partnership,London + 60 more,24 years old,10k-50k Employees (India),Consulting
59,Lupin,4.1,3900,Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India),Biotech & Life sciences
60,UltraTech Cement,4.3,4400,Public,"Mumbai,Maharashtra + 326 more",39 years old,10k-50k Employees (India),Building Material
61,Bajaj Finance,4.1,4200,Private,"Pune,Maharashtra + 593 more",35 years old,10k-50k Employees (India),Financial Services
62,Hindustan Unilev...,4.3,4300,Public,"Mumbai,Maharashtra + 345 more",89 years old,10k-50k Employees (India),FMCG
63,ITC,3.9,7100,Public,"Kolkata,West Bengal + 223 more",47 years old,10k-50k Employees (India),FMCG
64,Ujjivan Small Fi...,4.1,3700,Public,"Bangalore/Bengaluru,Karnataka + 375 more",5 years old,10k-50k Employees (India),Financial Services
65,Zydus Cadila,4.2,4600,Public,"Ahmedabad, India + 119 more",70 years old,10k-50k Employees (India),Biotech & Life sciences
66,Paytm,3.8,4200,Public,Noida + 228 more,12 years old,10k-50k Employees (India),Advertising / PR / Events
67,OPPO,4,3800,Public,"Dongguan,Guangdong + 312 more",18 years old,10k-50k Employees (India),Manufacturing
68,KPMG,3.8,3700,Partnership,Bengaluru/Bangalore + 50 more,35 years old,10k-50k Employees (Global),Consulting
69,Mindtree,4.1,3500,Public,"Bangalore/Bengaluru,Karnataka + 25 more",23 years old,10k-50k Employees (India),BPO/KPO
70,IIFL,3.9,3500,Public,"Mumbai,Maharashtra + 464 more",27 years old,10k-50k Employees (India),Financial Services
71,Shapoorji Pallon...,4.3,6700,Private,"Mumbai,Maharashtra + 136 more",157 years old,5k-10k Employees (India),Power
72,JP Morgan Chase,4.2,3500,Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India),Financial Services
73,Shriram Transpor...,4.2,3800,Public,"Mumbai,Maharashtra + 646 more",43 years old,10k-50k Employees (India),NBFC
74,Ashok Leyland,4.1,3500,Public,"Chennai,Tamil Nadu + 183 more",74 years old,10k-50k Employees (India),Automobile
75,Sun Pharmaceutic...,4.1,3900,Public,Mumbai + 145 more,39 years old,10k-50k Employees (India),Analytics / KPO / Research
76,Vivo,4.1,3400,Private,"Gurgaon/Gurugram,Haryana + 323 more",13 years old,5k-10k Employees (India),Consumer goods
77,Mahindra & Mahin...,4.3,4900,Public,"Mumbai,Maharashtra + 547 more",31 years old,10k-50k Employees (India),Financial Services
78,Aurobindo Pharma,4.1,3600,Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India),Biotechnology
79,Wells Fargo Indi...,4.2,3300,Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India),Financial Services
80,Intelenet Global...,3.7,3300,Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India),BPO / Call Centre
81,Fidelity Nationa...,4.1,3400,Private,"Jacksonville,Florida + 31 more",54 years old,10k-50k Employees (India),FinTech / Payments
82,Apollo Hospitals,4.1,5300,Public,"San Francisco,California + 161 more",39 years old,50k-1 Lakh Employees (India),Medical Services / Hospital
83,Hewlett-Packard ...,4.4,3600,Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India),Internet
84,Bandhan Bank,3.9,3300,Public,"Kolkata,West Bengal + 521 more",21 years old,50k-1 Lakh Employees (India),Financial Services
85,Reliance Communi...,4,4000,Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India),Telecom / ISP
86,Siemens,4.2,4800,Public,"Munich,Bavaria + 103 more",175 years old,10k-50k Employees (India),Internet
87,Future Group,4.2,10200,Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India),FMCG
88,Nokia,4.2,4500,Private,"Espoo,Southern Finland + 168 more",157 years old,10k-50k Employees (India),Manufacturing
89,Delhivery,4.2,3500,Private,"Delhi,NCT + 451 more",11 years old,10k-50k Employees (India),Internet
90,iEnergizer,3.9,3200,Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India),BPO/KPO
91,eClerx,3.7,3100,Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India),IT Services & Consulting
92,Max Life Insuran...,4.2,3100,JV,"Gurgaon/Gurugram,Haryana + 282 more",22 years old,10k-50k Employees (India),Consumer goods
93,AU Small Finance...,4,4100,Private,"Jaipur,Rajasthan + 281 more",26 years old,10k-50k Employees (India),Banking
94,First Source,3.9,3000,Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India),BPO/KPO
95,Oracle,3.9,3800,Public,"Austin,Texas + 30 more",45 years old,50k-1 Lakh Employees (India),Internet
96,TVS Motor,4.2,4400,Public,"Chennai,Tamil Nadu + 237 more",43 years old,10k-50k Employees (India),Automobile
97,Hero MotoCorp,4.2,3100,Public,"Gurgaon/Gurugram,Haryana + 260 more",38 years old,5k-10k Employees (India),Automobile
98,Oyo Rooms,3.5,3200,Private,"Gurgaon,Haryana + 103 more",9 years old,1k-5k Employees (India),Internet
99,Tata Projects,4.2,3000,Public,"Mumbai,Maharashtra + 188 more",43 years old,10k-50k Employees (India),Engineering & Construction
100,Wipro BPS,3.8,2900,,Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),BPO/KPO
101,Hexaware Technol...,3.7,3000,Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India),BPO/KPO
102,TATA Steel,4.1,4600,Public,"Mumbai,Maharashtra + 121 more",115 years old,10k-50k Employees (India),Iron & Steel
103,JSW Steel,3.9,3200,Public,"Mumbai,Maharashtra + 91 more",40 years old,10k-50k Employees (India),Iron & Steel
104,JLL,4.3,2900,Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India),Real Estate
105,Cyient,3.7,2900,Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k Employees (India),Manufacturing
106,Hyundai Motor,4.2,3900,Private,Seoul + 219 more,55 years old,10k-50k Employees (India),Automobile
107,Bosch,4.2,6200,Public,"Gerlingen,Baden-Wuerttemberg + 84 more",136 years old,10k-50k Employees (India),Industrial Equipment / Machinery
108,JustDial,3.5,2800,Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India),Internet
109,Bajaj Allianz Li...,4.1,2800,Private,Pune + 395 more,21 years old,10k-50k Employees (India),Financial Services
110,Quess,3.9,8700,Public,Bangalore + 324 more,15 years old,10k-50k Employees (India),BPO/KPO
111,Atos Syntel,3.7,4500,Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India),IT Services & Consulting
112,Samsung,4,7400,Public,Seoul + 347 more,84 years old,10k-50k Employees (India),Consumer goods
113,Megha Engineerin...,4.2,2600,Private,"Hyderabad/Secunderabad,Telangana + 192 more",33 years old,1k-5k Employees (India),Engineering & Construction
114,Manappuram Finan...,4,3300,Public,"Thrissur/Trichur,Kerala + 384 more",73 years old,10k-50k Employees (India),Financial Services
115,L&T Construction,4.2,3500,Public,Chennai + 258 more,78 years old,10k-50k Employees (India),Engineering & Construction
116,Omega Healthcare,3.8,2600,Private,Florida + 27 more,18 years old,5k-10k Employees (India),IT Services & Consulting
117,Viatris,4.3,2600,,"Canonsburg,Pennsylvania + 61 more",61 years old,10k-50k Employees (India),Manufacturing
118,BNY Mellon,4.2,2600,Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India),Investment Banking / Venture Capital / Private Equity
119,SBI Cards & Paym...,3.8,2500,Government,"Gurgaon/Gurugram,Haryana + 236 more",24 years old,10k-50k Employees (India),Financial Services
120,D Mart,4,2500,Private,"Mumbai,Maharashtra + 157 more",22 years old,10k-50k Employees (India),Retail
121,Fullerton India,4.2,2500,Private,Mumbai + 392 more,15 years old,10k-50k Employees (India),NBFC
122,Aditya Birla Fas...,4.3,3200,Private,Mumbai + 192 more,7 years old,10k-50k Employees (India),Textile & Apparel
123,Cummins,4.3,3100,,"Columbus,Indiana + 80 more",60 years old,10k-50k Employees (India),Automobile
124,UnitedHealth,4.2,4400,Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India),Medical Services / Hospital
125,Godrej & Boyce M...,3.9,2800,Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India),FMCG
126,IQVIA,4.2,2500,Partnership,Durham + 37 more,40 years old,10k-50k Employees (India),Internet
127,CBRE,4.3,2400,Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India),Real Estate
128,Dominos Pizza,4.1,2400,Public,"Ypsilanti,Michigan + 203 more",62 years old,1k-5k Employees (India),FMCG
129,Royal Enfield,4.2,2400,Private,"Gurgaon/Gurugram,Haryana + 233 more",121 years old,1k-5k Employees (India),Automobile
130,Equitas Small Fi...,4.2,2400,Private,"Chennai,Tamil Nadu + 286 more",15 years old,10k-50k Employees (India),Financial Services
131,Bajaj Auto,4,2400,Public,"Pune,Maharashtra + 207 more",77 years old,5k-10k Employees (India),Automobile
132,Nagarjuna Constr...,4.1,2500,Public,"Hyderabad/Secunderabad,Telangana + 177 more",24 years old,1k-5k Employees (India),Engineering & Construction
133,Axis Direct,4,2400,Private,"San Mateo,California + 263 more",11 years old,1k-5k Employees (India),Financial Services
134,JBM Group,4,2900,Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,10k-50k Employees (India),Industrial Equipment / Machinery
135,State Bank of In...,3.9,4800,,"Mumbai,Maharashtra + 336 more",216 years old,1 Lakh+ Employees (India),Financial Services
136,Nagarro,4.5,2400,Private,"Munich,Bavaria + 29 more",26 years old,10k-50k Employees (India),Emerging Technologies
137,Wipro Consumer ...,3.9,29800,Private,"Bangalore/Bengaluru,Karnataka + 72 more",77 years old,1k-5k Employees (India),Consumer goods
138,ICICI Lombard Ge...,3.9,2300,Public,"Mumbai,Maharashtra + 195 more",21 years old,10k-50k Employees (India),Financial Services
139,Wipro Infotech,4,2300,Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global),IT Services & Consulting
140,Tata Communicati...,4.2,3100,Public,"Mumbai,Maharashtra + 88 more",36 years old,10k-50k Employees (India),Telecom / ISP
141,Schneider Electr...,4.2,3800,Private,Paris + 77 more,23 years old,10k-50k Employees (India),Architecture / Interior Design
142,Amdocs,4.1,2300,Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India),Internet
143,Bosch Global Sof...,4.2,2300,Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India),Engineering & Construction
144,UST,4.1,2400,Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India),IT Services & Consulting
145,Muthoot Fincorp,4,2300,Private,"Trivandrum/Thiruvananthapuram,Kerala + 419 more",135 years old,10k-50k Employees (India),Financial Services
146,Ford Motor,4.5,2700,Public,"Dearborn,Michigan + 102 more",119 years old,10k-50k Employees (India),Automobile
147,Indiamart Interm...,3.8,2300,Private,"Noida,Uttar Pradesh + 105 more",26 years old,10k-50k Employees (India),Internet
148,Dell,4.2,3600,Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India),Internet
149,Flex,4.2,2200,Private,San Jose + 35 more,53 years old,10k-50k Employees (India),Manufacturing
150,Whitehat jr,3.8,2200,Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India),Internet
151,Ecom Express,4.2,2200,Private,"Gurgaon,Haryana + 464 more",10 years old,10k-50k Employees (India),Internet
152,BigBasket,4.1,2300,Private,"Bangalore,Karnataka + 76 more",11 years old,5k-10k Employees (India),Internet
153,John Deere,4.4,2400,Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India),Automobile
154,LG Electronics,4.1,2300,Public,"Seoul,Seoul + 183 more",64 years old,10k-50k Employees (India),Consumer goods
155,Motherson Sumi S...,3.8,3600,Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India),Automobile
156,Hetero Drugs,4,2500,Private,"Hyderabad/Secunderabad,Telangana + 32 more",29 years old,1k-5k Employees (India),Clinical Research / Contract Research
157,L&T Financial Se...,4,2200,Public,"Mumbai,Maharashtra + 378 more",28 years old,10k-50k Employees (India),Financial Services
158,SBI Life Insuran...,3.9,2200,Government,"Mumbai,Maharashtra + 411 more",21 years old,10k-50k Employees (India),Financial Services
159,Sodexo,4.1,2300,Private,Issy Les Moulineaux + 107 more,14 years old,5k-10k Employees (India),Food Processing
160,KEC Internationa...,4.2,2200,Public,"Mumbai,Maharashtra + 202 more",77 years old,5k-10k Employees (India),Industrial Equipment / Machinery
161,Cholamandalam In...,4.2,2200,Private,"Chennai,Tamil Nadu + 473 more",44 years old,5k-10k Employees (India),Financial Services
162,GlobalLogic,4,2100,Private,"San Jose,California + 24 more",22 years old,1k-5k Employees (India),Engineering & Construction
163,Abbott Healthcar...,4.1,4200,Public,"Illinois City,Illinois + 144 more",31 years old,10k-50k Employees (India),Healthcare / Pharma
164,Capgemini Techno...,4.1,2100,,Bengaluru/Bangalore + 23 more,,,
165,Subros,4,2100,Public,"Noida,Uttar Pradesh + 33 more",37 years old,1k-5k Employees (India),Automobile
166,Thermax,4.2,2300,Public,"Pune,Maharashtra + 123 more",42 years old,1k-5k Employees (India),Industrial Equipment / Machinery
167,Hindustan Coca C...,4.4,2100,Private,Bangalore + 164 more,25 years old,5k-10k Employees (India),Food Processing
168,Intas Pharmaceut...,4.3,2100,Private,"Ahmedabad,Gujrat + 97 more",22 years old,10k-50k Employees (India),Biotech & Life sciences
169,Muthoot Finance,3.6,2100,Public,"Kochi/Cochin,Kerala + 390 more",83 years old,10k-50k Employees (India),NBFC
170,Simplex Infrastr...,3.7,2200,Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India),Metals & Mining
171,Automatic Data P...,4.2,2000,,New Jersey + 9 more,73 years old,1k-5k Employees (India),Consulting
172,Wipro Enterprise...,3.9,31900,,Bangalore + 63 more,77 years old,1 Lakh+ Employees (India),IT Services & Consulting
173,Muthoot Group,3.7,4500,Public,"Wedel,Schleswig-holstein + 323 more",135 years old,1k-5k Employees (India),Internet
174,VE Commercial Ve...,4,2000,Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India),Automobile
175,Gati kwe,4.1,2000,Private,"Hyderabad/Secunderabad,Telangana + 142 more",10 years old,5k-10k Employees (India),Logistics / Shipping
176,Varun Beverages,4,2000,Public,"Gurgaon/Gurugram,Haryana + 187 more",27 years old,10k-50k Employees (India),Food Processing
177,Atos,3.9,7700,Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India),IT Services & Consulting
178,Arvind Group,4.1,2400,Public,"Ahmedabad,Gujrat + 127 more",91 years old,10k-50k Employees (India),Manufacturing
179,Virtusa Consulti...,3.8,2100,Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India),IT Services & Consulting
180,NatWest Group,4.1,2200,Government,Gurgaon/Gurugram + 18 more,,10k-50k Employees (India),Financial Services
181,Optum,4.1,2000,Private,Minnesota + 19 more,45 years old,10k-50k Employees (India),Medical Services / Hospital
182,Macleods Pharmac...,4,2000,Public,"Mumbai,Maharashtra + 74 more",36 years old,5k-10k Employees (India),Biotech & Life sciences
183,Swiggy,4.1,2200,Private,"Bangalore,Karnataka + 134 more",8 years old,10k-50k Employees (India),Internet
